水揚日,漁業名,荷主コード,荷主名,組合員区分,分類コード,分類名,魚種コード,魚種名,規格コード,規格名,仕切個数,仕切数量,仕切単価,仕切税抜金額
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,8,たら,801,まだら,7,２小　　,0,1.3,20,26
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,27,その他魚類,2703,とうべつかじか,0,,0,12,10,120
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,11,かれい,1117,みずくさがれい,0,,1,0.3,100,30
20181205,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,18,あんこう,2708,あんこう,0,,1,18,500,9000
20181205,その他定置網漁業,54161,ツガイナカ中村漁場　２号,0,1,さけ,102,さけメス,66,ゴンボ　,15,39,200,7800
20181205,その他定置網漁業,54161,ツガイナカ中村漁場　２号,0,1,さけ,101,さけオス,0,,6,22,530,11660
20181205,その他定置網漁業,54161,ツガイナカ中村漁場　２号,0,1,さけ,102,さけメス,0,,6,21,1050,22050
20181205,その他定置網漁業,54161,ツガイナカ中村漁場　２号,0,20,いか,2010,みずいか,65,込　　　,11,67,900,60300
20181205,その他定置網漁業,54161,ツガイナカ中村漁場　２号,0,20,いか,2001,するめいか,0,,0,17,673,11441
20181205,その他定置網漁業,54161,ツガイナカ中村漁場　２号,0,20,いか,2001,するめいか,0,,4,30,630,18900
20181205,その他定置網漁業,54161,ツガイナカ中村漁場　２号,0,18,あんこう,2708,あんこう,0,のじ,3,9,50,450
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,20,いか,2001,するめいか,0,,18,225,550,123750
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,21,たこ,2101,活だこ,4,大　　　,1,10.2,760,7752
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,20,いか,2010,みずいか,65,込　　　,11,65,550,35750
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,1,さけ,102,さけメス,0,,3,10,900,9000
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,1,さけ,102,さけメス,65,込　　　,42,120,700,84000
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,1,さけ,101,さけオス,0,,3,13.5,500,6750
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,1,さけ,101,さけオス,65,込　　　,65,191,200,38200
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,1,さけ,102,さけメス,66,ゴンボ　,10,25,150,3750
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,7,ぶり,706,活〆ぶり,42,１２ｋ台,1,12,1650,19800
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,7,ぶり,706,活〆ぶり,41,１１ｋ台,1,11,1650,18150
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,7,ぶり,706,活〆ぶり,40,１０ｋ台,2,20,1500,30000
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,7,ぶり,706,活〆ぶり,54,７～８Ｋ,6,50,950,47500
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,7,ぶり,701,ぶり,40,１０ｋ台,1,9.5,1350,12825
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,7,ぶり,701,ぶり,39,９ｋ台　,3,26.5,1000,26500
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,7,ぶり,701,ぶり,54,７～８Ｋ,15,106,800,84800
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,7,ぶり,701,ぶり,53,５～６Ｋ,35,200,600,120000
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,7,ぶり,701,ぶり,52,３～４Ｋ,4,16,460,7360
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,7,ぶり,702,いなだ,0,,4,6,230,1380
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,7,ぶり,701,ぶり,54,７～８Ｋスレ,1,7,250,1750
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,7,ぶり,704,ふくらぎ,10,大中　　,1,15,100,1500
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,27,その他魚類,2726,かわはぎ,0,,8,70,180,12600
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,10,ほっけ,1001,ほっけ,4,大　　　,0,6,400,2400
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,10,ほっけ,1001,ほっけ,5,中　　　,0,10.5,300,3150
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,10,ほっけ,1001,ほっけ,6,小　　　,0,5.5,250,1375
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1307,ながら,5,中　　　,2,25,380,9500
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1307,ながら,6,小　　　,8,92,300,27600
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1307,ながら,7,２小　　,3,35,230,8050
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1307,ながら,8,３小　　,1,9.5,130,1235
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1301,まぞい,7,２小　　,0,1.8,250,450
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1301,まぞい,8,３小　　,0,2.3,150,345
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1310,がや,0,,2,25,170,4250
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,27,その他魚類,2703,とうべつかじか,0,,0,3.8,10,38
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,11,かれい,1104,いしがれい,0,,1,1.2,150,180
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,27,その他魚類,2736,さわら,62,キズ　　,1,0.4,50,20
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,8,たら,801,まだら,6,小　　　,0,1,60,60
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,8,たら,801,まだら,7,２小　　,0,2,30,60
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,18,あんこう,2708,あんこう,0,のじ,1,5,100,500
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,11,かれい,1104,いしがれい,0,活,1,0.8,200,160
20181206,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,20,いか,2001,するめいか,0,,1,12,673,8076
20181208,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,20,いか,2001,するめいか,0,,16,210,550,115500
20181208,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,20,いか,2010,みずいか,65,込　　　,5,33,710,23430
20181208,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,12,ひらめ,1202,活ひらめ,3,大大　　,1,7.3,400,2920
20181208,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,18,あんこう,2708,あんこう,0,,2,4,300,1200
20181208,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,8,たら,801,まだら,7,２小　　,0,1.2,20,24
20181208,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,27,その他魚類,2736,さわら,0,,5,2,60,120
20181208,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1310,がや,0,,1,10,180,1800
20181208,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1301,まぞい,8,３小　　,0,1.5,100,150
20181208,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1301,まぞい,7,２小　　,0,2.3,200,460
20181208,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1307,ながら,8,３小　　,1,5,120,600
20181208,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1307,ながら,7,２小　　,1,10,210,2100
20181208,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1307,ながら,6,小　　　,2,26,280,7280
20181208,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,1,さけ,102,さけメス,0,,6,23,700,16100
20181208,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,1,さけ,102,さけメス,65,込　　　,8,20,500,10000
20181208,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,1,さけ,101,さけオス,65,込　　　,9,26,200,5200
20181208,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,1,さけ,102,さけメス,66,ゴンボ　,3,7,200,1400
20181208,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,7,ぶり,701,ぶり,54,７～８Ｋ,1,7.5,800,6000
20181208,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,7,ぶり,701,ぶり,52,３～４Ｋ,1,4,400,1600
20181208,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,27,その他魚類,2726,かわはぎ,0,,6,60,170,10200
20181208,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,10,ほっけ,1001,ほっけ,3,大大　　,0,11.5,400,4600
20181208,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,10,ほっけ,1001,ほっけ,4,大　　　,0,4,500,2000
20181208,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,10,ほっけ,1001,ほっけ,5,中　　　,7,79,250,19750
20181208,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,10,ほっけ,1001,ほっけ,6,小　　　,6,57,210,11970
20181208,その他定置網漁業,54079,ツガイナカ中村漁場　１号,0,13,そい・めぬき,1307,ながら,5,中　　　,1,3.5,360,1260
20181208,その他定置網漁業,54161,ツガイナカ中村漁場　２号,0,13,そい・めぬき,1307,ながら,8,３小　　,0,4,120,480
20181208,その他定置網漁業,54161,ツガイナカ中村漁場　２号,0,13,そい・めぬき,1307,ながら,7,２小　　,1,10,210,2100
20181208,その他定置網漁業,54161,ツガイナカ中村漁場　２号,0,13,そい・めぬき,1307,ながら,6,小　　　,1,12,280,3360
20181208,その他定置網漁業,54161,ツガイナカ中村漁場　２号,0,3,さば,301,さば,65,込　　　,7,4295,30,128850
20181208,その他定置網漁業,54161,ツガイナカ中村漁場　２号,0,3,さば,301,さば,5,中　　　,9,130,200,26000
20181208,その他定置網漁業,54161,ツガイナカ中村漁場　２号,0,27,その他魚類,2703,とうべつかじか,0,,0,4,10,40
20181208,その他定置網漁業,54161,ツガイナカ中村漁場　２号,0,20,いか,2001,するめいか,0,,1,20,673,13460
20181208,その他定置網漁業,54161,ツガイナカ中村漁場　２号,0,20,いか,2001,するめいか,0,,5,33,600,19800
